Node          U1          U2          U3
541 -1.36778e-26 -1.52955e-25 -9.48661e-28
542 -1.48314e-26 -1.38358e-25 -1.87905e-27
543 -1.83881e-26 -9.97964e-26 -2.62753e-27
544 -6.66768e-25 -9.52664e-26 5.78725e-26
545 -6.45977e-25 -1.3346e-25 3.65329e-26
546 -6.45606e-25 -1.48167e-25 1.65958e-26
547 -6.45382e-25 -1.52526e-25 1.73648e-38
548 -6.45606e-25 -1.48167e-25 -1.65958e-26
549 -6.45977e-25 -1.3346e-25 -3.65329e-26
550 -6.66768e-25 -9.52664e-26 -5.78725e-26
551 -1.33404e-24 -1.14088e-25 1.13672e-25
552 -1.29869e-24 -1.49539e-25 7.01728e-26
553 -1.29965e-24 -1.6401e-25 3.18489e-26
554 -1.29977e-24 -1.68311e-25 3.40476e-38
555 -1.29965e-24 -1.6401e-25 -3.18489e-26
556 -1.29869e-24 -1.49539e-25 -7.01728e-26
557 -1.33404e-24 -1.14088e-25 -1.13672e-25
558 -2.1032e-24 -1.60199e-25 1.67148e-25
559 -2.06583e-24 -1.88996e-25 1.02746e-25
560 -2.07441e-24 -2.00669e-25 4.6993e-26
561 -2.077e-24 -2.04195e-25 5.15513e-38
562 -2.07441e-24 -2.00669e-25 -4.6993e-26
563 -2.06583e-24 -1.88996e-25 -1.02746e-25
564 -2.1032e-24 -1.60199e-25 -1.67148e-25
565 0.000978172 -0.00248908 -3.20251e-05
566 0.000977865 -0.00249036 -2.54953e-05
567 0.000976424 -0.00249506 -1.38326e-05
568 0.000975968 -0.00249712 -3.79229e-17
569 0.000976424 -0.00249506 1.38326e-05
